ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Turismo internacional," gastos (US$ a precios actuales),ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000000,102000000,,,205000000,219000000,247000000,266000000,311000000,373000000,288000000,307000000,363000000,326000000,253000000,280000000,244000000,287000000,270000000,277000000,332000000,451000000,466000000,490000000,504000000,162000000,,,,"
El Salvador,SLV,Turismo internacional," recibos por artículos para el transporte de pasajeros (US$ a precios actuales),ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000000,69000000,,,186000000,220000000,251000000,276000000,282000000,295000000,295000000,304000000,311000000,286000000,230000000,256000000,314000000,342000000,433000000,464000000,386000000,332000000,354000000,356000000,358000000,119000000,,,,"
El Salvador,SLV,Turismo internacional," número de llegadas,ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867000,804000,885000,798000,1030000,1306000,1501000,1720000,1875000,1482000,1606000,1634000,1738000,1822000,1886000,1973000,2052000,2247000,2536000,2639000,707000,,,,"
El Salvador,SLV,Turismo internacional," gastos por artículos de viaje (US$ a precios actuales),ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000000,73000000,153000000,179000000,169000000,165000000,195000000,191000000,229000000,292000000,206000000,224000000,278000000,241000000,187000000,219000000,203000000,261000000,242000000,248000000,294000000,412000000,418000000,443000000,471000000,142000000,,,,"
El Salvador,SLV,Turismo internacional," recibos (% del total de exportaciones),ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70036934441367,9.38922715007261,,,18.3783783783784,17.4179919486628,18.5656781401462,20.6705018845467,24.3956928131075,26.4091639195426,19.6282011770936,18.1930532239628,18.2329867609662,14.7824731015126,13.0224655492001,12.9950648139083,12.4010050099472,14.7293442763831,16.124125046108,19.4102721704762,17.3993321806867,16.896619671591,16.9833748808091,18.109764027791,20.6535926823786,12.3429614370237,,,,"
El Salvador,SLV,Turismo internacional," gastos (% del total de importaciones),ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14239422065915,3.41900532179639,,,5.4541584632576,4.88468572958023,5.34921494315106,5.75116482708669,6.07990691047678,6.69503208062102,4.42517308880155,4.05509112067132,4.09930481210955,3.36100145471566,3.41253251051597,3.25769882726421,2.39176654384609,2.73442849744779,2.42039609642559,2.50933644787141,3.03887963518391,4.208154767125,4.11073220726204,3.97621216774395,4.04215496128449,1.5506265117051,,,,"
El Salvador,SLV,Turismo internacional," gastos por artículos para el transporte de pasajeros (US$ a precios actuales),ST.INT.TRNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,29000000,,,36000000,54000000,52000000,75000000,82000000,81000000,82000000,83000000,85000000,85000000,66000000,61000000,41000000,26000000,28000000,29000000,38000000,39000000,48000000,47000000,33000000,20000000,,,,"
El Salvador,SLV,Turismo internacional," número de partidas,ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348000,492000,627000,868000,787000,923000,933000,1001000,940000,1079000,1239000,1242000,1012000,,1345000,1421000,1469000,1462000,1515000,1515000,1618000,1804000,1871000,1788000,1899000,515000,,,,"
El Salvador,SLV,Turismo internacional," recibos por artículos de viaje (US$ a precios actuales),ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000000,86000000,149000000,206000000,222000000,217000000,201000000,245000000,382000000,453000000,361000000,382000000,482000000,425000000,319000000,390000000,415000000,558000000,621000000,821000000,817000000,829000000,873000000,1014000000,1306000000,636000000,,,,"
El Salvador,SLV,Turismo internacional," recibos (US$ a precios actuales),ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152000000,155000000,,,408000000,437000000,452000000,521000000,664000000,748000000,656000000,686000000,793000000,711000000,549000000,646000000,729000000,900000000,1054000000,1285000000,1203000000,1161000000,1227000000,1370000000,1664000000,755000000,,,,"
